Vendor,Medium,Audience,Product,Objective,FY_2018_Master Impressions,FY_2018_Master Clicks,FY_2018_Master Cost,FY_2018_Master Unique Pageviews,FY_2018_Master Bounces,FY_2018_Master Sessions,FY_2018_Master Clicks Sponsored InMail,FY_2018_Master Sends,FY_2018_Master Opens,FY_2018_Master Swipes,FY_2018_Master Engagements,FY_2018_Master Results,FY_2018_Master Views,FY_2018_Master Completions,FY_2019_Master Impressions,FY_2019_Master Clicks,FY_2019_Master Cost,FY_2019_Master Unique Pageviews,FY_2019_Master Bounces,FY_2019_Master Sessions,FY_2019_Master Clicks Sponsored InMail,FY_2019_Master Sends,FY_2019_Master Opens,FY_2019_Master Swipes,FY_2019_Master Engagements,FY_2019_Master Results,FY_2019_Master Views,FY_2019_Master Completions
DBM,DISP,ALL,GR,IG,,,,,,,,,,,,,,,1277349,884,18821.71,1628,1238,1557,,,,,,,,0
DBM,DISP,ALL,MPH,IG,,,,,,,,,,,,,,,62942,59,686.61,451,343,447,,,,,,,,0
DBM,DISP,ALL,POL,IG,,,,,,,,,,,,,,,59742,48,623.49,456,325,436,,,,,,,,0
DBM,DISP,ALL,UNI,BR,2309879,1346,10906.89,1464,1209,1433,,,,,,,,0,3449890,2231,20005.36,2479,2091,2337,,,,,,,,0
DBM,DISP,CU,TR,IG,,,,,,,,,,,,,,,685694,498,7021.16,1325,756,1295,,,,,,,,0
DBM,DISP,HS,UG,IG,,,,,,,,,,,,,,,1023021,812,16504.09,2084,1063,1950,,,,,,,,0
DBM,DISP,TL,UG,BR,,,,,,,,,,,,,,,919730,1457,10900.53,1926,1542,1863,,,,,,,,0
DBM,DISP,TL,UG,IG,1782286,2386,9999.88,1274,1151,1240,,,,,,,,0,825448,995,9999.79,1849,1363,1790,,,,,,,,0
DBM,DISP,WA,DC,IG,,,,,,,,,,,,,,,762072,557,10190.52,1495,909,1460,,,,,,,,0
DBM,VID,ALL,UNI,BR,193223,384,2919.89,185,142,166,,,,,,,,115199,258660,1644,5889.23,871,533,758,,,,,,,,161403
DBM,AUD,ALL,UNI,BR,681060,0,15700.06,13,10,12,,,,,,,,227846,,,,,,,,,,,,,,
FB,DISP,ALL,CGCY,IG,,,,,,,,,,,,,,,430185,1055,940.48,650,507,562,,,,,937,,0,0
FB,DISP,ALL,CLR,IG,,,,,,,,,,,,,,,816265,2458,3151.69,1206,1112,1162,,,,,2193,,0,0
FB,DISP,ALL,GR,IG,,,,,,,,,,,,,,,1637142,4184,3838.2,2047,1713,1918,,,,,3902,,0,0
FB,DISP,ALL,IC,IG,,,,,,,,,,,,,,,317137,1297,760.88,1192,557,705,,,,,1030,,0,0
FB,DISP,ALL,MPH,IG,,,,,,,,,,,,,,,170008,694,715.01,363,310,331,,,,,528,,0,0
FB,DISP,ALL,POL,IG,,,,,,,,,,,,,,,460188,1172,1784.97,735,642,701,,,,,1135,,0,0
FB,DISP,CU,GR,IG,395166,884,732.53,606,507,558,,,,,892,,0,0,886545,1038,1437.58,450,412,430,,,,,988,,0,0
FB,DISP,CU,TR,IG,1474207,5327,3004.41,3930,2345,3846,,,,,5482,,0,0,186451,1134,946.02,256,158,184,,,,,701,,0,0
FB,DISP,HS,UG,ER,,,,,,,,,,,,,,,662113,3031,3846.36,694,625,664,,,,,2014,,0,0
FB,DISP,HS,UG,IG,963855,3767,2101.37,1623,1005,1591,,,,,3812,,0,0,570347,2321,1444.1,593,464,511,,,,,1917,,0,0
FB,DISP,TL,CLR,IG,,,,,,,,,,,,,,,111292,440,751.5,288,267,280,,,,,420,,0,0
FB,DISP,TL,UG,BR,,,,,,,,,,,,,,,540368,1887,1712.04,1039,886,981,,,,,1750,,0,0
FB,DISP,TL,UG,IG,999395,5954,1912.19,3190,2886,3110,,,,,6281,,0,0,,,,4,3,4,,,,,,,,
