Date,Campaign,Ad,Site (DCM),Placement,Ad Type,Creative,Click-through URL,Clicks,Impressions,Click Rate
08/23/2017,USM_FY18,728x90 Default Web Ad,Sunjournal.com,USMFY18_SJ_728x90,Default,USM-FY18_Veronica_728x90_static,(not set),4,3,133.33
08/25/2017,USM_FY18,970x90 Default Web Ad,Mainetoday.com - Portland Press Herald,USMFY18_MaineToday_970x90,Default,USM-FY18_Nate_970x90_static,(not set),1,1,100
09/20/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,1,1,100
04/14/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,1,100
08/23/2017,USM_FY18,300x250 Default Web Ad,Sunjournal.com,USMFY18_SJ_300x250,Default,USM-FY18_Nate_300x250_static,(not set),3,3,100
11/07/2017,USM_FY18,Video_BDN_Lauren,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,2,3,66.67
03/25/2018,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,5,8,62.5
02/19/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,3,5,60
08/23/2017,USM_FY18,300x600 Default Web Ad,Mainetoday.com - Portland Press Herald,USMFY18_MaineToday_300x600,Default,USM-FY18_Nate_300x600_static,(not set),1,2,50
08/24/2017,USM_FY18,300x600_BDN_Nate,Bangor Daily News,USMFY18_BDN_300x600,Standard,USM-FY18_Nate_300x600_static,(not set),1,2,50
08/25/2017,USM_FY18,300x250 Default Web Ad,Bangor Daily News,USMFY18_BDN_300x250,Default,USM-FY18_Nate_300x250_static,(not set),1,2,50
08/25/2017,USM_FY18,300x600_BDN_Nate,Bangor Daily News,USMFY18_BDN_300x600,Standard,USM-FY18_Nate_300x600_static,(not set),1,2,50
08/25/2017,USM_FY18,970x90 Default Web Ad,Bangor Daily News,USMFY18_BDN_970x90,Default,USM-FY18_Nate_970x90_static,(not set),1,2,50
08/28/2017,USM_FY18,300x600_BDN_Nate,Bangor Daily News,USMFY18_BDN_300x600,Standard,USM-FY18_Nate_300x600_static,(not set),1,2,50
09/17/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,1,2,50
09/18/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,1,2,50
02/11/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,2,50
03/02/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,2,50
03/05/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,2,50
03/15/2018,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,1,2,50
04/15/2018,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,1,2,50
02/23/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,4,8,50
02/17/2018,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,2,5,40
04/30/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,2,5,40
11/14/2017,USM_FY18,Video_BDN_Lauren,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,7,18,38.89
10/05/2017,USM_FY18,Video_BDN_Lauren,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,5,13,38.46
02/20/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,3,8,37.5
11/08/2017,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,4,11,36.36
10/01/2017,USM_FY18,Video_BDN_Lauren,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,5,14,35.71
09/18/2017,USM_FY18,Video_BDN_Lauren,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USMFY18_Lauren_30sec,http://usm.maine.edu/welcome,10,28,35.71
10/23/2017,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,6,17,35.29
01/05/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,3,33.33
02/10/2018,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,1,3,33.33
04/04/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,3,33.33
04/27/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,1,3,33.33
09/16/2017,USM_FY18,640x640_Spotify_Tracker_Nate,Spotify,USMFY18_Spotify_640x640_Tracking,Tracking,640x640_Spotify_Tracker_Nate,http://usm.maine.edu/welcome,2,6,33.33
03/24/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,2,6,33.33
03/29/2018,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,2,6,33.33
01/12/2018,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,3,9,33.33
02/25/2018,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,3,9,33.33
02/08/2018,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,5,15,33.33
10/26/2017,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,11,33,33.33
10/01/2017,USM_FY18,Video_BDN_Veronica,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Veronica_VIDEO,http://usm.maine.edu/welcome,8,25,32
10/13/2017,USM_FY18,Video_BDN_Nate,Bangor Daily News,USMFY18_BDN_Video,In-Stream Video,USM_Nate_VIDEO,http://usm.maine.edu/welcome,5,16,31.25
