Ad Name,Day,Campaign Name,Ad Set Name,Reporting Ends,Impressions,Clicks (All),Amount Spent (USD),Video Plays,Video Plays [On Ad],ThruPlays,ThruPlays [On Ad],Link Clicks,Link Clicks [On Ad],Reach,Purchases,Purchases [1 Day After Viewing],Purchases [28 Days After Clicking],Landing Page Views,Landing Page Views [On Ad],Page Engagement,Page Engagement [On Ad],Page Engagement [1 Day After Viewing],Page Engagement [28 Days After Clicking],Reporting Starts
University of Everyone_Apply Now_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/30/2018,144,2,1.92,,,,,2,2,70,,,,2,2,2,2,0,0,06/30/2018
[AG_ALL_GR] Leadership_Grad,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Leadership_Grad,06/30/2018,1251,12,2.7,,,,,13,13,701,,,,9,9,13,13,0,0,06/30/2018
[AG_ALL_UG] Leadership_Undergrad,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Leadership_Undergrad,06/30/2018,1784,14,2.48,,,,,14,14,1067,,,,6,6,14,14,0,0,06/30/2018
[AG_CU_UG] Engineering_Transfer,06/30/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Engineering_Transfer,06/30/2018,1025,3,2.29,,,,,3,3,573,,,,1,1,3,3,0,0,06/30/2018
University of Everyone_Apply Now_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,1497,9,14.06,,,,,6,6,923,,,,1,1,6,6,0,0,06/30/2018
"47 majors, 60+ minors and concentrations, and 2,000 courses — including online",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/30/2018,234,0,2.28,,,,,,,230,,,,,,,,,,06/30/2018
Integrate community-based learning into your education while studying in vibrant Portland,06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_HS_UG],06/30/2018,128,0,1.2,,,,,,,127,,,,,,,,,,06/30/2018
[AG_HS_UG] StillTime47,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,1415,7,11.19,,,,,6,6,948,,,,,,6,6,0,0,06/30/2018
[AG_ALL_GR] Nursing_Grad,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR]Nursing_Grad,06/30/2018,1754,12,4.39,,,,,10,10,728,1,1,0,5,5,10,10,0,0,06/30/2018
[AG_ALL_GR] Public Health,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Public Health,06/30/2018,729,2,2.37,,,,,2,2,331,,,,2,2,2,2,0,0,06/30/2018
Find Yourself Here - Copy,06/30/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,06/30/2018,1849,8,4.23,,,,,8,8,904,,,,5,5,8,8,0,0,06/30/2018
University of Everyone_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,552,2,1.56,,,,,2,2,353,,,,,,2,2,0,0,06/30/2018
"[AG_HS_UG]	Small Classes",06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,1241,6,3.22,,,,,4,4,857,,,,2,2,4,4,0,0,06/30/2018
[AG_ALL_GR] Creative Writing_V1 - Copy,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/30/2018,1878,15,6.17,,,,,18,18,1056,,,,3,3,18,18,0,0,06/30/2018
[AG_HS_UG]StillTime,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,304,0,0,,,,,,,236,,,,,,,,,,06/30/2018
Find Yourself Here,06/30/2018,USM FY 2017-2018 Page Link,[AG_WA_GR] Lookalike,06/30/2018,1884,4,4.52,,,,,5,5,816,,,,,,5,5,0,0,06/30/2018
Have you thought about finishing your degree? USM can help you reach your goals.,06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_DC] FB_ Working Adults - Degree Completion,06/30/2018,1520,5,5.11,,,,,,,1481,,,,,,2,2,0,0,06/30/2018
[AG_ALL_GR] Creative Writing_V1,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_GR] Creative Writing,06/30/2018,977,14,3.96,,,,,14,14,486,,,,5,5,14,14,0,0,06/30/2018
University of Everyone_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/30/2018,178,3,2.58,,,,,4,4,92,,,,1,1,4,4,0,0,06/30/2018
"Offering diverse master's and doctoral degree programs, and advanced certificates",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/30/2018,206,0,0.63,,,,,,,204,,,,,,,,,,06/30/2018
"Many graduate programs are offered online - pursue your degree at any time, from anywhere",06/30/2018,USM FY 2017-2018 Page Post Engagement,[BR_WA_GR] Lookalike,06/30/2018,801,3,2.27,,,,,,,781,,,,,,1,1,0,0,06/30/2018
University of Everyone_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG]  Retarget,06/30/2018,242,6,3.68,,,,,5,5,119,,,,1,1,5,5,0,0,06/30/2018
[AG_ALL_UG] Business,06/30/2018,USM FY 2017-2018 Page Link,[AG_ALL_UG] Business_Undergrad,06/30/2018,3230,20,3.5,,,,,20,20,1768,,,,7,7,20,20,0,0,06/30/2018
Find Yourself Here (1),06/30/2018,USM FY 2017-2018 Page Link,[AG_WA_DC],06/30/2018,265,1,0.7,,,,,1,1,151,,,,1,1,1,1,0,0,06/30/2018
Find Yourself Here_LEARN_MORE_,06/30/2018,USM FY 2017-2018 Page Link,[AG_HS_UG],06/30/2018,813,5,5.26,,,,,4,4,477,,,,,,4,4,0,0,06/30/2018
[AG_CU_UG] Leadership_Transfer,06/30/2018,USM FY 2017-2018 Page Link,[AG_CU_UG] Leadership_Transfer,06/30/2018,951,3,2.26,,,,,3,3,498,,,,,,3,3,0,0,06/30/2018
