Day,Campaign,Campaign type,Ad,Impressions,Clicks,Cost,Views,Video played to 100%,Gmail clicks to website
01/23/2018,FY2018_YouTube,Video,Lauren_15s,"1,336",1,42.41,279,21.17%,0
01/16/2018,FY2018_YouTube,Video,Lauren_15s,"1,491",0,42.01,343,23.12%,0
02/04/2018,FY2018_YouTube,Video,Lauren_15s,"1,456",0,37.88,331,22.87%,0
02/10/2018,FY2018_YouTube,Video,Nate_30s,198,0,8.43,52,26.26%,0
02/25/2018,FY2018_YouTube,Video,Veronica_30s,47,0,1.63,13,27.66%,0
03/02/2018,FY2018_YouTube,Video,Lauren_15s,"1,198",0,39.85,351,29.22%,0
03/21/2018,FY2018_YouTube,Video,Lauren_15s,"1,206",0,34.58,297,24.86%,0
02/26/2018,FY2018_YouTube,Video,Nate_30s,200,0,5.53,63,32.00%,0
03/05/2018,FY2018_YouTube,Video,Nate_30s,168,0,7.8,56,32.14%,0
03/06/2018,FY2018_YouTube,Video,Lauren_15s,"1,375",0,35.37,350,25.44%,0
03/17/2018,FY2018_YouTube,Video,Veronica_30s,19,1,0.89,6,26.32%,0
03/19/2018,FY2018_YouTube,Video,Nate_30s,158,0,8.96,34,20.89%,0
03/27/2018,FY2018_YouTube,Video,Veronica_30s,38,0,0.73,12,28.95%,0
04/03/2018,FY2018_YouTube,Video,Lauren_15s,"1,173",0,41.59,319,27.28%,0
01/04/2018,FY2018_YouTube,Video,Veronica_30s,14,0,1.56,2,14.29%,0
01/10/2018,FY2018_YouTube,Video,Lauren_15s,"1,056",1,41.28,270,25.40%,0
01/11/2018,FY2018_YouTube,Video,Lauren_15s,"1,189",0,35.97,282,24.03%,0
01/12/2018,FY2018_YouTube,Video,Lauren_15s,"1,507",1,38.32,327,21.55%,0
01/29/2018,FY2018_YouTube,Video,Lauren_15s,"1,309",2,40.48,303,23.22%,0
02/02/2018,FY2018_YouTube,Video,Nate_30s,178,0,4.54,49,27.53%,0
02/14/2018,FY2018_YouTube,Video,Veronica_30s,43,0,0.64,8,18.60%,0
02/18/2018,FY2018_YouTube,Video,Nate_30s,194,1,4.12,61,30.93%,0
02/19/2018,FY2018_YouTube,Video,Veronica_30s,38,0,3.98,12,30.77%,0
02/20/2018,FY2018_YouTube,Video,Nate_30s,242,0,6.67,75,30.99%,0
02/22/2018,FY2018_YouTube,Video,Lauren_15s,"1,287",1,39.34,314,24.32%,0
02/24/2018,FY2018_YouTube,Video,Lauren_15s,"1,011",0,36.85,274,27.16%,0
