Campaign,Source / Medium,Ad Content,Unique Pageviews,Bounces,Time on Page,Sessions,Pageviews,Exits,Session Duration
FY2018_Degree_Completion,Facebook / PageLink,WA,"4,781","4,341",28:29:06,"4,664","5,274","4,664",28:29:06
FY2018_Stonecoast,Facebook / PageLink,MFA_Stonecoast,"3,910","3,421",27:03:16,"3,737","4,390","3,737",27:03:16
FY2017_Undergrad,Facebook / PageLink,Undergrad_OS_HS,"3,366","3,098",8:28:20,"3,313","3,591","3,313",8:28:23
FY2018_Graduate,Facebook / PageLink,Lookalike,"3,307","2,968",14:34:25,"3,157","3,584","3,157",14:34:41
FY2018_Undergrad,Facebook / PageLink,Undergrad_RT_HS,"3,128","2,844",24:58:57,"3,072","3,584","3,072",24:59:01
FY2018_Undergrad,Facebook / PageLink,Undergrad_CyberSecurity,"3,033","2,756",12:31:08,"2,958","3,294","2,958",12:30:58
FY2018_Undergrad,Facebook / PageLink,Undergrad_ME_HS,"2,978","2,740",8:08:10,"2,880","3,160","2,880",8:08:07
FY2018_Undergrad,Facebook / PageLink,Undergrad_Leadership,"2,563","2,364",10:43:37,"2,521","2,795","2,521",10:43:34
FY2018_Graduate,Facebook / PageLink,Grad_Leadership,"2,179","2,022",8:57:25,"2,152","2,364","2,152",8:57:21
FY2018_Undergrad,Facebook / PageLink,Undergrad_Business,"2,162","1,989",5:17:59,"2,123","2,342","2,123",5:18:15
FY2018_Undergrad,Facebook / PageLink,Undergrad_Engineering,"2,084","1,777",13:52:47,"1,967","2,302","1,967",13:52:53
FY2018_Umbrella,DBM / Display,Spring_Travel,"1,621","1,380",4:09:03,"1,494","1,875","1,494",4:09:13
FY2018_Transfer,Facebook / PageLink,Undergrad_Leadership,"1,618","1,477",7:17:27,"1,572","1,712","1,572",7:17:24
FY2018_Graduate,Facebook / PageLink,Grad_Nursing,"1,549","1,262",8:23:33,"1,396","1,774","1,396",8:23:33
FY2018_Graduate,Facebook / PageLink,Grad_PublicHealth,"1,539","1,376",5:40:16,"1,477","1,725","1,477",5:40:16
FY2018_Graduate,Facebook / PageLink,Grad_MPPM,"1,230","1,132",5:16:21,"1,190","1,337","1,190",5:16:24
FY2018_Stonecoast,Facebook / PageLink,AG_ALL_GR_CreativeWriting,"1,220","1,070",13:26:44,"1,184","1,494","1,184",13:26:41
FY2019_GradMuskie,Facebook / PageLink,AG_ALL_GRMuskieSchool_PublicHealth,"1,181","1,037",4:29:46,"1,128","1,318","1,128",4:29:39
FY2018_Transfer,Facebook / PageLink,Undergrad_Engineering,"1,040",972,3:31:56,"1,024","1,119","1,024",3:31:56
FY2018_Undergrad,DBM / Display,Summer_2018,861,750,3:48:40,812,972,812,3:48:44
FY2019_GradMuskie,Facebook / PageLink,AG_ALL_GRMuskieSchool_PublicPolicy,832,721,4:47:58,796,972,796,4:47:55
FY2019_GradMuskie,Facebook / PageLink,AG_ALL_GRMuskieSchool,753,678,4:11:53,734,799,734,4:11:56
FY2018_Umbrella,DBM / Display,Elliot,747,460,13:09:40,672,838,672,13:12:56
FY2018_Umbrella,Pandora / Display,Nate,731,600,2:40:34,669,828,669,2:40:31
FY2018_Umbrella,DBM / Video,Veronica_V1,675,620,0:18:32,672,734,672,0:18:35
FY2018_Umbrella,DBM / Display,Danica,613,551,0:29:41,597,685,597,0:29:50
FY2018_Umbrella,DBM / Display,Kusow,594,528,0:27:40,574,662,574,0:27:50
FY2018_Umbrella,DBM / Video,Nate_V1,551,489,0:20:20,545,633,545,0:20:20
FY2018_Individual_Courses,Facebook / PageLink,WA,470,414,3:38:37,453,538,453,3:38:37
FY2018_Degree_Completion,MaineToday / Display,V1_2.7.18,463,375,1:36:48,404,551,404,1:36:52
FY2018_Umbrella,DBM / Display,Veronica_V1,430,320,3:31:33,362,470,362,3:31:33
FY2018_Umbrella,BDN / Video,Veronica_V1,388,277,1:31:06,349,486,349,1:31:09
FY2018_Umbrella,BDN / Video,Nate_V1,326,290,0:02:59,326,375,326,0:02:59
FY2018_Umbrella,BDN / Display,Elliot,323,248,1:27:47,297,408,297,1:27:50
FY2018_Undergrad,Facebook / PageLink,AG_HS_UGRetarget,313,261,4:06:40,294,352,294,4:06:40
FY2018_Umbrella,SJ / Display,Kusow,294,248,1:11:29,290,352,290,1:11:25
FY2018_Umbrella,BDN / Display,Danica,287,245,1:10:30,274,336,274,1:10:33
