"Ven_Med_Prod","Imp_18","Imp_19","CTR_2018","CTR_2019","UPV_18","UPV_19","BR_2018","BR_2019","Cost_18","Cost_19","OR_2018","OR_2019","ER_2018","ER_2019","RR_2018","RR_2019","VR_2018","VR_2019","SR_2018","SR_2019","VTR_2018","VTR_2019"
"DBM_AUD","1,035,379","2","~","~","13","~","83.33%","~","$24,655.17","$0.04","~","~","~","~","~","~","~","~","0%%","0%%","0%%","0%%"
"DBM_DISP","23,847,657","8,943,204","0.04%","0.08%","7,653","12,937","88.53%","73.31%","$23,995","$93,443","~","~","~","~","~","~","~","~","0%%","0%%","0%%","0%%"
"DBM_VID","1,816,421","258,660","0.15%","0.64%","1,527","871","90.16%","70.32%","$4,110.79","$5,889.23","~","~","~","~","~","~","~","~","0%%","0%%","0%%","0%%"
"FB_CAR","~","357,927","~","0.4%","~","650","~","91.78%","$0","$1,657.97","~","~","~","0.31%","~","~","~","0.31%","0%%","0.31%%","0%%","0.31%%"
"FB_DISP","11,756,641","6,599,288","0.42%","0.35%","49,803","10,331","89.24%","89.75%","$31,750.38","$20,120","~","~","0.22%","0.29%","~","~","0.22%","0.29%","0.22%%","0.29%%","0.22%%","0.29%%"
"FB_VID","620,352","1,741,210","0.79%","0.71%","2,346","3,992","82.22%","92.58%","$3,880.92","$11,266.19","~","~","33.17%","18.47%","~","~","33.17%","18.47%","33.17%%","18.47%%","33.17%%","18.47%%"
"FB0RT_DISP","257,680","~","1.54%","~","3,441","~","92.25%","~","$2,656.39","$0","~","~","~","~","~","~","~","~","0%%","0%%","0%%","0%%"
"GM_TEXT","275,349","17,626","4.08%","15.92%","306","155","66.17%","66.67%","$6,790.11","$1,429.03","~","~","~","~","~","~","~","~","0%%","0%%","0%%","0%%"
"HU_VID","1,502,441","~","0.06%","~","501","6","81.74%","66.67%","$52,375.32","$0","~","~","~","~","~","~","~","~","0%%","0%%","0%%","0%%"
"IG_CAR","~","466,588","~","0.21%","~","507","~","92.98%","$0","$2,493.96","~","~","~","0.2%","~","~","~","0.2%","0%%","0.2%%","0%%","0.2%%"
"IG_DISP","997,813","1,687,792","0.22%","0.32%","481","2,902","86.09%","96.73%","$6,074.03","$12,518.39","~","~","0.18%","0.31%","~","~","0.18%","0.31%","0.18%%","0.31%%","0.18%%","0.31%%"
"IG_ST","~","4,451","~","0.43%","~","52","~","95.83%","$0","$31.95","~","~","~","5.57%","~","~","~","5.57%","0%%","5.57%%","0%%","5.57%%"
"IG_VID","1,005,994","1,223,362","0.29%","0.24%","589","928","89.15%","96.7%","$6,558.4","$7,740.56","~","~","4.38%","4.46%","~","~","4.38%","4.46%","4.38%%","4.46%%","4.38%%","4.46%%"
"LI_TEXT","~","10,966","~","51.15%","191","410","72.92%","70.54%","$2,134.28","$4,125.7","52.33%","54.15%","~","51.92%","~","~","~","51.92%","0%%","51.92%%","0%%","51.92%%"
"PIN_DISP","705,647","1,017,957","0.31%","0.36%","706","2,027","90.13%","93.71%","$3,476","$5,375.84","~","~","5.11%","4.82%","~","~","5.11%","4.82%","5.11%%","4.82%%","5.11%%","4.82%%"
"SC_VID","1,206,915","613,578","1.21%","0.86%","2,062","2,663","97.49%","94.19%","$2,423.92","$1,759.88","~","~","~","~","~","~","~","~","0%%","0%%","0%%","0%%"
"SPO_AUD","697,674","4","0.1%","25%","196","1","84.31%","100%","$0","$0","~","~","~","~","~","~","~","~","0%%","0%%","0%%","0%%"
"TW_DISP","~","68,822","~","~","~","354","~","80.95%","$0","$3,123.59","~","~","~","0.05%","~","1.85%","~","0.05%","0%%","0.05%%","0%%","0.05%%"
"YT_VID","635,136","429,871","0.06%","0.1%","154","344","77.08%","89.79%","$18,567.49","$7,100.08","~","~","~","~","~","~","~","~","0%%","0%%","0%%","0%%"
