Source / Medium,Landing Page,Pageviews,Avg. Time on Page,Bounce Rate,Entrances,Unique Pageviews,% Exit,Year
(direct) / (none),/here,113,0:00:24,93.68%,95,95,78.76%,2019
Doubleclick Bid Manager / Display,/here,8,0:00:00,100.00%,8,8,100.00%,2019
0.0.0.0:4444 / referral,/here,6,0:00:00,100.00%,6,6,100.00%,2019
10.191.1.11 / referral,/here,6,0:00:00,100.00%,6,6,100.00%,2019
google / organic,/here,4,0:00:08,0.00%,2,2,0.00%,2019
BDN / Display,/here,2,0:00:00,100.00%,2,2,100.00%,2019
DoubleClick / Display,/here,2,0:00:00,100.00%,2,2,100.00%,2019
duckduckgo / organic,/here,2,0:00:00,100.00%,2,2,100.00%,2019
Gmail / Inbox,/here,2,0:03:24,0.00%,2,2,0.00%,2019
BDN / Video,/everyone,"2,528",0:01:22,90.34%,"2,018","2,018",79.43%,2019
Doubleclick Bid Manager / Display,/everyone,"2,075",0:01:17,91.41%,"1,921","1,921",90.80%,2019
Programmatic / Video,/everyone,460,0:00:30,90.15%,406,406,87.61%,2019
SJ / Display,/everyone,426,0:00:41,93.35%,406,406,93.90%,2019
BDN / Display,/everyone,336,0:01:20,96.96%,329,329,97.02%,2019
PPH / Display,/everyone,336,0:00:17,96.99%,332,332,97.02%,2019
DBM / Video,/everyone,252,0:00:52,88.56%,201,201,79.76%,2019
google / cpc,/everyone,171,0:00:27,89.24%,158,158,90.06%,2019
(direct) / (none),/everyone,118,0:00:12,96.61%,118,118,96.61%,2019
YouTube / Video,/everyone,67,0:00:00,100.00%,67,67,100.00%,2019
google / organic,/everyone,27,0:02:20,0.00%,10,10,11.11%,2019
0.0.0.0:4444 / referral,/everyone,10,0:00:00,100.00%,10,10,100.00%,2019
Gmail / Inbox,/everyone,7,0:00:00,0.00%,3,3,42.86%,2019
Spotify / programmatic,/everyone,3,0:00:00,100.00%,3,3,100.00%,2019
Doubleclick Bid Manager / Display,/everyone,"1,801",0:00:49,83.57%,"1,528","1,528",83.40%,2018
BDN / Video,/everyone,980,0:01:01,88.62%,826,826,83.98%,2018
SJ / Display,/everyone,454,0:00:28,92.31%,403,403,87.22%,2018
Hulu / Video,/everyone,418,0:00:19,81.43%,350,350,83.73%,2018
(direct) / (none),/everyone,348,0:03:04,91.06%,302,302,83.91%,2018
Programmatic / Video,/everyone,193,0:00:17,87.36%,174,174,88.60%,2018
PPH / Display,/everyone,174,0:09:35,98.83%,171,171,98.28%,2018
BDN / Display,/everyone,145,0:04:19,95.07%,142,142,95.17%,2018
Spotify / programmatic,/everyone,138,0:01:18,84.55%,123,123,81.88%,2018
google / cpc,/everyone,128,0:01:10,54.12%,85,85,66.41%,2018
YouTube / Video,/everyone,22,0:00:00,50.00%,14,14,63.64%,2018
google / organic,/everyone,19,0:02:40,35.71%,14,14,26.32%,2018
(not set) / (not set),/everyone,10,0:00:00,100.00%,10,10,100.00%,2018
DoubleclickBidManager / audio,/everyone,7,0:00:00,100.00%,7,7,100.00%,2018
Doubleclick Bid Manager / audio,/everyone,5,0:00:14,40.00%,5,5,40.00%,2018
cms.usm.maine.edu / referral,/everyone,2,0:00:12,0.00%,2,2,0.00%,2018
DBM / Display,/welcome,"4,362",0:00:56,91.45%,"3,920","3,920",87.71%,2018
DBM / Video,/welcome,"1,396",0:00:15,90.97%,"1,251","1,251",88.90%,2018
SJ / Display,/welcome,"1,057",0:00:55,81.79%,851,851,79.94%,2018
BDN / Display,/welcome,967,0:01:09,88.16%,870,870,86.04%,2018
BDN / Video,/welcome,809,0:00:23,84.34%,677,677,82.94%,2018
Pandora / Display,/welcome,780,0:01:49,88.57%,735,735,87.18%,2018
MaineToday / Display,/welcome,242,0:00:42,90.09%,222,222,86.78%,2018
(direct) / (none),/welcome,193,0:00:15,90.80%,174,174,88.60%,2018
Pandora / Video,/welcome,177,0:00:51,90.80%,174,174,90.96%,2018
google / cpc,/welcome,45,0:00:00,100.00%,45,45,100.00%,2018
s0.2mdn.net / referral,/welcome,19,0:00:06,81.25%,16,16,84.21%,2018
Spotify / Display,/welcome,19,0:01:41,62.50%,16,16,68.42%,2018
DBM / (not set),/welcome,10,0:00:00,100.00%,10,10,100.00%,2018
google / organic,/welcome,10,0:07:37,50.00%,6,6,60.00%,2018
N9515.1355588DOUBLECLICK.COMBI25 / Display,/welcome,6,0:00:00,0.00%,3,3,50.00%,2018
bing / organic,/welcome,3,0:00:00,100.00%,3,3,100.00%,2018
